Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	19:13:00	19:13:00	19:13:01			19:13:01	19:13:01	19:13:02	19:13:02	19:13:02	19:13:02	19:13:02	19:13:18	19:13:18	19:13:19	19:13:19	19:13:19	19:13:19			19:13:56	19:13:56		00:00:00		00:00:00	00:00:01	00:00:00	00:00:16	00:00:00	00:00:00		00:00:37	00:00:56
1	19:14:11	19:14:11	19:14:11	19:14:11	19:14:12	19:14:12	19:14:12	19:14:12	19:14:12	19:14:12	19:14:12	19:14:12	19:14:33	19:14:33	19:14:34	19:14:34	19:14:34	19:14:34			19:14:57	19:14:57		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:22	00:00:45
2	19:14:59	19:14:59	19:14:59	19:14:59	19:14:59	19:14:59			19:14:59	19:14:59	19:14:59	19:14:59	19:15:07	19:15:07	19:15:07	19:15:07	19:15:07	19:15:07			19:15:11	19:15:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:04	00:00:12
3	19:15:13	19:15:13	19:15:13	19:15:13	19:15:13	19:15:13			19:15:13	19:15:13	19:15:13	19:15:13	19:15:22	19:15:22	19:15:22	19:15:22	19:15:22	19:15:22			19:15:26	19:15:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:04	00:00:13
4	19:15:28	19:15:28	19:15:28	19:15:28	19:15:28	19:15:28			19:15:28	19:15:28	19:15:28	19:15:28	19:15:36	19:15:36	19:15:36	19:15:36	19:15:36	19:15:36			19:15:40	19:15:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:03	00:00:11
5	19:15:41	19:15:41	19:15:41	19:15:41	19:15:41	19:15:41			19:15:41	19:15:41	19:15:41	19:15:41	19:15:48	19:15:48	19:15:48	19:15:48	19:15:48	19:15:48			19:15:57	19:15:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:09	00:00:16
6	19:16:00	19:16:00	19:16:00	19:16:00	19:16:00	19:16:00			19:16:00	19:16:00	19:16:01	19:16:01	19:16:09	19:16:09	19:16:09	19:16:09	19:16:09	19:16:09			19:16:12	19:16:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:02	00:00:11
7	19:16:13	19:16:13	19:16:13	19:16:13	19:16:13	19:16:13			19:16:13	19:16:13	19:16:13	19:16:13	19:16:18	19:16:18	19:16:18	19:16:18	19:16:18	19:16:18			19:16:21	19:16:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:08
8	19:16:22	19:16:22	19:16:22	19:16:22	19:16:22	19:16:22			19:16:22	19:16:22	19:16:22	19:16:22	19:16:28	19:16:28	19:16:28	19:16:28	19:16:28	19:16:28			19:16:30	19:16:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:08
9	19:16:31	19:16:31	19:16:31	19:16:31	19:16:31	19:16:31			19:16:31	19:16:31	19:16:31	19:16:31	19:16:42	19:16:42	19:16:43	19:16:43	19:16:43	19:16:43			19:16:52	19:16:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:09	00:00:21
10	19:16:55	19:16:55	19:16:55	19:16:55	19:16:55	19:16:55	19:16:55	19:16:56	19:16:56	19:16:56	19:16:56	19:16:56	19:17:05	19:17:05	19:17:05	19:17:05	19:17:05	19:17:05	19:17:05	19:17:05	19:17:13	19:17:13		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:08	00:00:00	00:00:00	00:00:00	00:00:07	00:00:17
